Epoch	LR	Train Loss	Recons Loss	KLD Loss	
392.000000	0.000196	0.474069	0.159359	0.314710	
393.000000	0.000195	0.457007	0.160623	0.296385	
394.000000	0.000193	0.476392	0.158994	0.317398	
395.000000	0.000191	0.446508	0.159544	0.286964	
396.000000	0.000189	0.480933	0.158999	0.321934	
397.000000	0.000187	0.484088	0.160231	0.323857	
398.000000	0.000185	0.476847	0.158570	0.318278	
399.000000	0.000183	0.463402	0.159701	0.303702	
400.000000	0.000181	0.453110	0.159047	0.294063	
401.000000	0.000180	0.474276	0.159663	0.314613	
402.000000	0.000178	0.468920	0.159816	0.309104	
403.000000	0.000176	0.488080	0.159992	0.328088	
404.000000	0.000174	0.478528	0.159996	0.318532	
405.000000	0.000172	0.508384	0.159236	0.349148	
406.000000	0.000171	0.518065	0.160335	0.357729	
407.000000	0.000169	0.484185	0.159385	0.324800	
408.000000	0.000167	0.448590	0.159376	0.289215	
409.000000	0.000166	0.443540	0.158726	0.284814	
410.000000	0.000164	0.462893	0.158797	0.304097	
411.000000	0.000162	0.460950	0.159201	0.301749	
412.000000	0.000161	0.482022	0.158613	0.323410	
413.000000	0.000159	0.466875	0.159262	0.307612	
414.000000	0.000158	0.476322	0.159765	0.316557	
415.000000	0.000156	0.458573	0.159687	0.298886	
416.000000	0.000154	0.465869	0.159071	0.306798	
417.000000	0.000153	0.475216	0.158560	0.316656	
418.000000	0.000151	0.486242	0.158898	0.327344	
419.000000	0.000150	0.469487	0.158880	0.310607	
420.000000	0.000148	0.468436	0.159078	0.309357	
421.000000	0.000147	0.465435	0.159910	0.305525	
422.000000	0.000145	0.469478	0.159192	0.310286	
423.000000	0.000144	0.445458	0.159468	0.285990	
424.000000	0.000142	0.468541	0.159561	0.308980	
425.000000	0.000141	0.469461	0.159604	0.309857	
426.000000	0.000140	0.464919	0.159546	0.305373	
427.000000	0.000138	0.482486	0.159151	0.323336	
428.000000	0.000137	0.447270	0.159473	0.287797	
429.000000	0.000135	0.482638	0.159510	0.323129	
430.000000	0.000134	0.459560	0.160271	0.299288	
431.000000	0.000133	0.440012	0.159135	0.280877	
432.000000	0.000131	0.451810	0.159120	0.292690	
433.000000	0.000130	0.445079	0.160160	0.284919	
434.000000	0.000129	0.458660	0.160095	0.298565	
435.000000	0.000128	0.449978	0.160012	0.289966	
436.000000	0.000126	0.464364	0.159103	0.305261	
437.000000	0.000125	0.453250	0.159484	0.293766	
438.000000	0.000124	0.453226	0.158237	0.294989	
439.000000	0.000123	0.474330	0.159677	0.314653	
440.000000	0.000121	0.447125	0.159804	0.287321	
441.000000	0.000120	0.431839	0.159648	0.272191	
442.000000	0.000119	0.461883	0.159578	0.302305	
443.000000	0.000118	0.444094	0.159237	0.284857	
444.000000	0.000117	0.442726	0.159959	0.282767	
445.000000	0.000115	0.472615	0.159580	0.313034	
446.000000	0.000114	0.479182	0.159412	0.319770	
447.000000	0.000113	0.437442	0.159955	0.277487	
448.000000	0.000112	0.443180	0.159670	0.283510	
449.000000	0.000111	0.464356	0.158125	0.306231	
450.000000	0.000110	0.482003	0.159139	0.322864	
451.000000	0.000109	0.466511	0.159341	0.307170	
452.000000	0.000108	0.445582	0.158918	0.286664	
453.000000	0.000106	0.458887	0.159313	0.299574	
454.000000	0.000105	0.477757	0.158306	0.319451	
455.000000	0.000104	0.460064	0.159160	0.300904	
456.000000	0.000103	0.468018	0.159041	0.308977	
457.000000	0.000102	0.440570	0.159076	0.281493	
458.000000	0.000101	0.462918	0.159278	0.303640	
459.000000	0.000100	0.429529	0.158623	0.270906	
460.000000	0.000099	0.428147	0.159862	0.268285	
461.000000	0.000098	0.463894	0.158705	0.305189	
462.000000	0.000097	0.441222	0.158974	0.282249	
463.000000	0.000096	0.446261	0.158894	0.287367	
464.000000	0.000095	0.450829	0.159266	0.291563	
465.000000	0.000094	0.469082	0.160182	0.308900	
466.000000	0.000093	0.456617	0.159406	0.297212	
467.000000	0.000092	0.460063	0.159625	0.300438	
468.000000	0.000092	0.443092	0.159090	0.284001	
469.000000	0.000091	0.465178	0.159346	0.305832	
470.000000	0.000090	0.436986	0.158814	0.278172	
471.000000	0.000089	0.437682	0.159171	0.278511	
472.000000	0.000088	0.426901	0.159069	0.267832	
473.000000	0.000087	0.419948	0.158893	0.261055	
474.000000	0.000086	0.444948	0.159737	0.285210	
